17014|Calibre|28||173
17014|Longitud|1.0 M||174
17014|Color|Negro||175
2328|Color|Blanco ||176
2328|Material|ABS||177
2332|Color|Blanco||178
2332|Material|ABS||179
2333|Color|Blanco||180
2333|Material|ABS||181
2335|Color|Blanco||182
2335|Material|ABS||183
2338|Color|Blanco||184
2338|Material|ABS||185
2339|Color|Blanco||186
2341|Color|Blanco||187
2341|Material|PVC||188
2342|Color|Blanco||189
2342|Material|PVC||190
2344|Color|Blanco||191
2344|Material|PVC||192
2422|Material|acero||193
3636|Material|Phosphor Bronze||195
3636|Categoría|Cat 5||196
3681|Conector del manguito|Ceramica ||198
4270|Categoría|Cat 5e||199
4548|Color|Blanco||201
4548|Material|Cloruro de polivinilo (PVC)||202
4864|Categoría|Cat 6||203
4864|Color|Blanco||204
4864|Numero de Puertos|1||205
4865|Color|Negro||207
5077|Numero de Lineas|2||209
5077|Numero de Puertos Ethernet|2||210
5077|Protocolo|SIP||211
5867|Tipo|Etiquetas ||212
5867|Color|Variedad de Colores ||213
8130|Tipo|Panel||214
8130|Puertos Insertos|16 a 24||215
8131|Puertos Insertos|24||216
8131|Tipo|Panel||217
8160|Categorias|Cat 5, Cat 6||218
8160|Estandar hasta|100mts ||219
8455|Interface|USB 2.0||220
8455|Estandares Inalambricos|IEEE 802.11n, IEEE 802.11g, IEEE 802.11b||221
9016|Cable|Estructurado||224
1439|Categoría|Cat 6||225
1439|Puertos|1||226
12670|Puertos|5 puertos RJ-45 10/100 de detección automática (IEEE 802.3 tipo 10BASE-T, IEEE 802.3u tipo 100BASE-TX), tipo de soporte: MDIX automático, dúplex: medio o completo||227
12670|Diferenciador|Switch de Fast Ethernet de escritorio con 5 puertos, no gestionado, diseñado para oficinas pequeñas, versión 2||228
12673|Puertos Ethernet 10/100/1000|8||229
12673|Latencia|100 Mb: < 3,9 µs||230
13651|Conector|BNC||231
13897|Capacidad Almacenamiento|32GB||232
13897|Adaptador|Si||233
14337|Interface|USB 2.0||234
14337|Velocidad|150 Mbps||235
14430|Color|Gris||236
14487|Conexion|Inalambrica||237
14543|Tipo|Macho||240
14543|Conector A|jACK 3.5 MM||241
15378|Conector|BNC||242
15420|Categoría|Cat 5||244
15435|Categoría|Cat 6||245
15435|Contantos|8 ||246
15867|Cache|64 MB||247
15867|Capacidad|1TB||248
15867|Interfaz Sata|6 Gb/s||249
15868|Capacidad|2 TB||250
15868|Cache|64 MB||251
15868|Velocidad|7200 RPM||252
15869|Capacidad|4TB||256
15869|Sata Interface|6Gb/s||257
15886|Lente|3.6mm||261
15886|Resolucion Pixeles|1280x720||262
15886|Sensor de Imagen|1/4 " CMOS Sensor||263
17055|Color|Negro||264
17055|Conector|RJ11||265
17055|Longitud|2 M||266
15887|Botón|WPS/Reset (Reinicio)||267
15887|Suministro de Energía Externa|9VDC / 0.6A||268
15887|Interface|2 Puertos LAN de 10/100Mbps / 1 Puerto WAN de 10/100Mbps||269
15888|Estándares Inalámbricos|IEEE 802.11b, IEEE 802.11g, IEEE 802.11n||270
15888|Tipo de Conector|US||271
15888|Interfaces|1 10/100Mbps WAN/LAN Port Botón de Reseteo||272
15889|Frecuencia|2.4-2.4835GHz||276
15889|Interface|1 Puerto WAN/LAN de 10/100Mbps / 1 Micro Puerto USB / 1 Botón de Reseteo||277
15889|Estándares Inalámbricos|IEEE 802.11n, IEEE 802.11g, IEEE 802.11b||278
15889|Dimensiones (Largo x Ancho x Alto)|57mm x 57mm x 18 mm||279
15889|Tipo de Antena|Incorporada||280
15890|Botones|Botón RE (Range Extender), / Botón Reset||284
15890|Tipo de Enchufe|EU||285
15890|Estándares Inalámbricos|IEEE 802.11n, IEEE 802.11g, IEEE 802.11b||286
15899|Marcación Método Externo|Tono (DTMF)||287
17583|CONECTOR|"A" USB "B" MICRO USB||288
15899|Capacidad máxima|8 CO, 16 híbrido, 8 SL||289
17583|Longitud|1.0 M||290
17583|Color|NEGRO||291
15899|Intercom Caminos|4||292
15910|Pantalla - LCD Contraste|4 niveles ||293
15910|LCD Display Pantalla de Cristal Liquido|2 Line(16 Digits & Date / Pict)||294
15910|Memoria de Identificador de Llamadas|30 Numeros||295
15910|Identificador de Llamada|Si||296
17011|Conector|Plug "A" macho "B"  macho||297
17011|Version USB|2.0||298
17011|Calibre|28||299
17011|Longitud|2 M||300
17011|Color|Negro||301
16070|Antena|Mini-omni, 2 dBi (RP-SMA)||302
16070|Interface|PCI de 32-bit||303
16070|Dimensiones (W X D X H)|5.2 × 4.8 × 0.9 pulg. (133 × 121 × 22 mm)||304
16073|Puertos Ethernet 10/100|4 LAN + 1 WAN||305
16073|Rango de frecuencias|2.4 - 2.4835 Ghz||306
16073|Estándares Inalámbricos|IEEE 802.11b/g/n||307
16073|Antenas|2 Internas ||308
17122|Conector|3.5 mm macho||309
17122|Color|Negro||310
17122|Longitud|1.70 M||311
17121|Conector|3.5 mm macho||312
17121|Color|Negro||313
17121|Longitud|1.50 M||314
16076|Capacidad|4 GB||315
16076|Adaptador|No||316
17049|Color|Negro||317
17049|Conector|plug RCA macho.||318
17049|Longitud|2 M||319
16077|Tipo de memoria interna|Flash||320
16077|Dimenciones de la Tarjeta|1mm x 15mm x 1mm||321
16077|Capacidad|16 GB||322
17053|Color|Blanco||325
17053|Conector A|RJ11 Hembra||326
17053|Conector B|RJ11 macho||327
16079|Capacidad|64 GB||328
16079|USB|3.0||329
16080|Capacidad|32 GB||330
17016|Color|Negro||331
17016|Longitud|0.90 M||332
17016|Conector|Firewire 400 6 pines||333
16082|Capacidad|16 GB||336
16082|Compatible USB|2.0||337
16083|Capacidad|8 GB||338
16083|Color|Rojo,Negro||339
16083|Interfaz|USB 2.0||340
16084|Capacidad|16 GB||341
16084|Color|Negro, Rojo||342
16084|Interfaz|USB 2.0||343
16088|Capacidad|8 GB||347
16089|Capacidad|8 GB||348
16090|Capacidad|16 GB||349
16091|Capacidad|8 GB||350
16092|Capacidad|16 GB||351
16098|Numero de Puertos|2||352
16098|Color|Blanco||353
16104|Troqueles|Rj45, Rj11||354
16105|Material|Plastico||355
16105|Lazo del Cierre|Trinquete Plastico||356
16131|Tipo|BNC Y DC||357
16194|Frecuencia|DC para 5MHz||358
16194|Tipo|Wire||359
16211|Capacidad|1 TB||360
16211|Interfaces|USB 3.0 (compatible USB 2.0)||361
16211|Velocidad|5400 RPM||362
16214|Interfaz|USB 2.0||363
16214|Tipo de Bus|USB 2.0||364
16214|Unidades Compatibles|SATA||365
16218|Longitud|50 cm||366
16218|Color|Rojo||367
