5506-481	45.8998337	60	EA	2	1	3	2
5502-431	55.2501394	67	EA	2	1	3	2
5025-281	186.150187	94	EA	2	1	3	2
5017-051	36.5499982	3	EA	2	1	3	2
02112-001	447.950754	7	EA	2	1	3	2
02328-001	700.401015	265	EA	2	1	3	2
02326-001	522.750849	49	EA	2	1	3	2
02370-001	251.600447	8	EA	2	1	3	2
02125-001	401.200636	97	EA	2	1	3	2
02371-001	550.800826	9	EA	2	1	3	2
02483-001	419.900777	172	EA	2	1	3	2
02485-001	513.400543	147	EA	2	1	3	2
02484-001	504.050708	12	EA	2	1	3	2
02693-004	1495.15208	1	EA	2	1	3	2
02350-001	317.050236	7	EA	2	1	3	2
02380-001	747.151133	1	EA	2	1	3	2
5505-081	45.8998337	21	EA	2	1	3	2
0821-001	279.650423	9	EA	2	1	3	2
5507-641	186.150187	32	EA	2	1	3	2
01190-001	120.700398	76	EA	2	1	3	2
01165-001	83.3001162	19	EA	2	1	3	2
01857-001	504.050708	6	EA	2	1	3	2
5900-334	148.750375	13	EA	2	1	3	2
5504-641	120.700398	10	EA	2	1	3	2
02342-001	980.901253	22	EA	2	1	3	2
02635-001	1775.65231	1	EA	2	1	3	2
02411-001	148.750375	52	EA	2	1	3	2
02769-001	980.901253	18	EA	2	1	3	2
02421-001	148.750375	44	EA	2	1	3	2
02677-001	447.950754	16	EA	2	1	3	2
5801-811	83.3001162	19	EA	2	1	3	2
01470-001	120.700398	4	EA	2	1	3	2
01513-001	92.6499517	93	EA	2	1	3	2
01752-004	3084.65421	1	EA	2	1	3	2
02076-001	64.5999749	7	EA	2	1	3	2
02172-004	73.9502807	17	EA	2	1	3	2
02327-001	597.550944	153	EA	2	1	3	2
02539-001	2246415.0	2	EA	2	1	3	2
02536-004	1689736.4	1	EA	2	1	3	2
02537-001	1391515.7	3	EA	2	1	3	2
02540-001	2882619.1	2	EA	2	1	3	2
0673-001	1121.15160	1	EA	2	1	3	2
5505-141	41.6502932	22	EA	2	1	3	2
0801-001	1859.80272	7	EA	2	1	3	2
01022-001	1170.45163	2	EA	2	1	3	2
02346-001	606.900779	6	EA	2	1	3	2
01039-001	793.901251	32	EA	2	1	3	2
01044-001	840.651369	14	EA	2	1	3	2
01079-001	466.650895	0	EA	2	1	3	2
01592-001	541.450990	1	EA	2	1	3	2
01604-001	326.400541	7	EA	2	1	3	2
01605-001	419.900777	3	EA	2	1	3	2
01061-001	840.651369	4	EA	2	1	3	2
01151-001	251.600447	0	EA	2	1	3	2
5504-631	176.800352	4	EA	2	1	3	2
01507-001	709.750851	0	EA	2	1	3	2
01189-001	176.800352	0	EA	2	1	3	2
01856-001	45.8998337	4	EA	2	1	3	2
01711-001	1682.15255	1	EA	2	1	3	2
02025-001	55.2501394	29	EA	2	1	3	2
01959-004	2476.90361	72	EA	2	1	3	2
02083-001	36.5499982	10	EA	2	1	3	2
01995-001	1121.15160	0	EA	2	1	3	2
02018-001	700.401015	34	EA	2	1	3	2
01682-004	1775.65231	1	EA	2	1	3	2
01925-004	3037.90409	29	EA	2	1	3	2
02208-001	102.000257	2	EA	2	1	3	2
02315-001	64.5999749	5	EA	2	1	3	2
02331-001	887.401487	0	EA	2	1	3	2
02124-001	354.450518	28	EA	2	1	3	2
02486-001	597.550944	6	EA	2	1	3	2
02341-001	793.901251	44	EA	2	1	3	2
02408-001	840.651369	2	EA	2	1	3	2
02915-001	1588.65231	5	EA	2	1	3	2
02636-004	494.700872	9	EA	2	1	3	2
02692-004	2523.65373	3	EA	2	1	3	2
02766-004	1121.15160	4	EA	2	1	3	2
5801-694	700.401015	10	EA	2	1	3	2
5801-951	36.5499982	20	EA	2	1	3	2
02633-001	1401.65184	0	EA	2	1	3	2
02813-001	560.150661	54	EA	2	1	3	2
01564-001	1588.65231	0	EA	2	1	3	2
01997-001	606.900779	73	EA	2	1	3	2
02330-001	887.401487	0	EA	2	1	3	2
02374-001	345.100683	40	EA	2	1	3	2
02634-001	1588.65231	27	EA	2	1	3	2
5503-091	11.9002181	45	EA	2	1	3	2
5507-451	204.850329	1	EA	2	1	3	2
5507-271	354.450518	33	EA	2	1	3	2
5505-091	64.5999749	1	EA	2	1	3	2
5026-204	55.2501394	95	EA	2	1	3	2
01757-001	83.3001162	4	EA	2	1	3	2
01148-001	279.650423	10	EA	2	1	3	2
02021-001	92.6499517	6	EA	2	1	3	2
5503-921	36.5499982	6	EA	2	1	3	2
01446-001	139.400069	0	EA	2	1	3	2
5017-641	83.3001162	5	EA	2	1	3	2
5504-041	36.5499982	15	EA	2	1	3	2
5801-421	36.5499982	40	EA	2	1	3	2
5507-401	27.2001627	27	EA	2	1	3	2
5801-641	102.000257	42	EA	2	1	3	2
5506-481	45.8998337	60	EA	2	1	3	2
5502-431	55.2501394	67	EA	2	1	3	2
5025-281	186.150187	94	EA	2	1	3	2
5017-051	36.5499982	3	EA	2	1	3	2
02112-001	447.950754	7	EA	2	1	3	2
02113-001	485.350566	0	EA	2	1	3	2
02328-001	700.401015	265	EA	2	1	3	2
02326-001	522.750849	49	EA	2	1	3	2
02370-001	251.600447	8	EA	2	1	3	2
02125-001	401.200636	97	EA	2	1	3	2
02329-001	747.151133	0	EA	2	1	3	2
02371-001	550.800826	9	EA	2	1	3	2
02483-001	419.900777	172	EA	2	1	3	2
02485-001	513.400543	147	EA	2	1	3	2
02484-001	504.050708	12	EA	2	1	3	2
02693-004	1495.15208	1	EA	2	1	3	2
02350-001	317.050236	7	EA	2	1	3	2
02380-001	747.151133	1	EA	2	1	3	2
5505-081	45.8998337	21	EA	2	1	3	2
0821-001	279.650423	9	EA	2	1	3	2
5507-641	186.150187	32	EA	2	1	3	2
01190-001	120.700398	76	EA	2	1	3	2
01165-001	83.3001162	19	EA	2	1	3	2
01857-001	504.050708	6	EA	2	1	3	2
5900-334	148.750375	13	EA	2	1	3	2
5504-641	120.700398	10	EA	2	1	3	2
02342-001	980.901253	22	EA	2	1	3	2
02635-001	1775.65231	1	EA	2	1	3	2
02411-001	148.750375	52	EA	2	1	3	2
02769-001	980.901253	18	EA	2	1	3	2
02421-001	148.750375	44	EA	2	1	3	2
02677-001	447.950754	16	EA	2	1	3	2
5504-821	92.6499517	0	EA	2	1	3	2
5801-811	83.3001162	19	EA	2	1	3	2
01470-001	120.700398	4	EA	2	1	3	2
01513-001	92.6499517	93	EA	2	1	3	2
01752-004	3084.65421	1	EA	2	1	3	2
02416-001	1027.65137	0	EA	2	1	3	2
02415-001	906.101158	0	EA	2	1	3	2
02076-001	64.5999749	7	EA	2	1	3	2
02172-004	73.9502807	17	EA	2	1	3	2
02327-001	597.550944	153	EA	2	1	3	2
02188-001	1121.15160	0	EA	2	1	3	2
01581-004	2991.15444	0	EA	2	1	3	2
01191-004	419.900777	0	EA	2	1	3	2
01624-001	102.000257	0	EA	2	1	3	2
02054-001	1121.15160	0	EA	2	1	3	2
02324-001	466.650895	0	EA	2	1	3	2
02323-001	401.200636	0	EA	2	1	3	2
02637-004	653.650897	0	EA	2	1	3	2
02511-001	840.651369	0	EA	2	1	3	2
02765-004	840.651369	0	EA	2	1	3	2
5801-471	33.1502718	0	EA	2	1	3	2
02733-001	700.401015	0	EA	2	1	3	2
02734-001	934.151135	0	EA	2	1	3	2
02738-001	1149.20158	0	EA	2	1	3	2
01964-004	1121.15160	0	EA	2	1	3	2
02127-001	73.9502807	0	EA	2	1	3	2
02129-001	176.800352	0	Pack	2	1	3	2
5900-171	317.050236	0	EA	2	1	3	2
5017-111	14.4501305	0	EA	2	1	3	2
01678-001	551.650640	0	EA	2	1	3	2
01700-001	26.3498784	0	EA	2	1	3	2
01560-001	102.000257	0	EA	2	1	3	2
5507-361	36.5499982	0	EA	2	1	3	2
5505-181	36.5499982	0	EA	2	1	3	2
5029-034	55.2501394	0	EA	2	1	3	2
02332-001	980.901253	0	EA	2	1	3	2
02375-001	419.900777	0	EA	2	1	3	2
5900-181	317.050236	0	EA	2	1	3	2
02740-004	195.500493	0	EA	2	1	3	2
02066-001	148.750375	0	EA	2	1	3	2
6502FE 0071000	198.177384	6,000	FT	2	39	3	2
YM48998004U1000	197.780929	15,000	FT	2	39	3	2
YM48996 007U1000	197.780929	6,000	FT	2	39	3	2
YM48988 008U1000	195.195275	4,000	FT	2	39	3	2
6302FC 877U1000	938.975840	13,000	FT	2	39	3	2
YM48994011U1000	186.536766	9,000	FT	2	39	3	2
5220FL 0021000	244.063579	52,000	FT	2	39	3	2
5304UE 0081000	395.557626	70,000	FT	2	39	3	2
